Metric,指标,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
FinTech & Business Services Gross Margin (%),金融科技及企业服务毛利率（%）,0.47,0.40,0.33,0.30,0.28,0.27,,,,,
Others Gross Margin (%),其他毛利率 (%),0.09,-0.15,-0.04,0.13,0.01,0.08,0.24,0.22,0.16,0.09,0.23
Cash & Cash Equivalents (B),现金及现金等价物（十亿）,132.5,172.3,156.8,168,152.8,133,97.8,105.7,71.9,43.4,42.7
Term Deposits and Others (B),定期存款及其他（十亿）,282.9,231,162.8,113.3,106.7,72.3,69.3,42.5,55.7,41,15.6
Borrowings (B),借款（十亿）,199.4,197.4,175.2,156,126.4,127,114.3,97.8,69.8,24.4,8.7
Notes Payable (B),应付票据（十亿）,139.2,151.3,159.1,145.6,122.1,93.9,65,34.1,39.7,41,26.9
Net Cash (B),现金净额（十亿）,76.8,54.7,-14.8,-20.2,11.1,-15.6,-12.2,16.3,18.1,19.1,22.8
Net Cash Flows Generated from Operating Activities (B),经营活动产生所得现金流量净额（十亿）,258.5,222,146.1,175.2,194.1,148.6,106.4,106.1,65.5,45.4,32.7
Capital Expenditure (B),资本开支（十亿）,76.8,23.9,18,33.4,34,32.4,23.9,13.6,12.1,7.7,4.7
Deferred Revenue (B),递延收入（十亿）,106.3,89.6,85.7,92.4,89.5,68.3,49.5,44.5,33.2,24.1,19.6
Weixin/WeChat Combined MAU (B),微信/WeChat合并月活跃用户数（十亿）,1.39,1.34,1.31,1.27,1.23,1.16,1.1,0.99,0.89,0.7,0.5
QQ Mobile Device MAU (B),QQ移动终端月活跃用户数（十亿）,0.52,0.54,0.57,0.55,0.59,0.65,0.7,0.68,0.65,0.64,0.58
Fee-based VAS Subscriptions (B),收费增值服务付费会员数（十亿）,0.26,0.24,0.23,0.24,0.22,0.18,0.16,0.13,0.11,0.095,0.084
Investment Portfolio (B),投资组合（十亿）,817.7,701.7,820,879,690.9,439.6,396.2,275.6,,,
Employee Count (Person),员工人数（人）,110558,105417,108436,112771,85858,62885,54309,44796,38775,30641,27690
